PROVIDER_NAME,ENROL_STATUS_DATE,Enrol_No
University of Witwatersrand,04/FEB/09,739
University of Witwatersrand,05/SEP/12,144
University of Witwatersrand,01/JUL/08,602
University of Witwatersrand,10/JAN/08,485
University of Witwatersrand,19/APR/10,84
University of Witwatersrand,18/FEB/11,589
University of Witwatersrand,13/JUL/09,907
University of Witwatersrand,07/JAN/11,1669
University of Witwatersrand,04/FEB/11,2377
University of Witwatersrand,12/JAN/11,3309
University of Witwatersrand,01/SEP/08,229
University of Witwatersrand,04/FEB/10,855
University of Witwatersrand,06/JAN/09,694
University of Witwatersrand,18/JAN/12,2363
University of Witwatersrand,10/MAR/10,237
University of Witwatersrand,27/JAN/10,1288
University of Witwatersrand,21/JAN/08,3853
University of Witwatersrand,19/JAN/09,1079
University of Witwatersrand,07/APR/09,52
University of Witwatersrand,17/MAY/10,52
University of Witwatersrand,31/MAY/04,21
University of Witwatersrand,23/MAY/05,11
University of Witwatersrand,01/JUL/07,240
University of Witwatersrand,21/JAN/11,3463
University of Witwatersrand,04/AUG/06,25
University of Witwatersrand,12/MAY/04,9
University of Witwatersrand,29/FEB/12,386
University of Witwatersrand,27/SEP/11,46
University of Witwatersrand,18/JAN/11,2437
University of Witwatersrand,12/SEP/11,74
University of Witwatersrand,13/JAN/11,1858
University of Witwatersrand,12/JAN/12,1810
University of Witwatersrand,10/JUL/06,93
University of Witwatersrand,07/FEB/12,1372
University of Witwatersrand,15/JUL/10,1212
University of Witwatersrand,01/JUL/12,2559
University of Witwatersrand,03/JAN/12,28707
University of Witwatersrand,17/JAN/12,2232
University of Witwatersrand,30/JAN/07,382
University of Witwatersrand,06/JAN/11,8031
University of Witwatersrand,09/JAN/12,12646
University of Witwatersrand,06/MAR/08,585
University of Witwatersrand,02/MAY/03,7
Mangosuthu University of Technology,12/JAN/10,3387
Mangosuthu University of Technology,12/JAN/09,3451
Mangosuthu University of Technology,09/JAN/07,649
Mangosuthu University of Technology,09/JAN/08,1030
Mangosuthu University of Technology,01/DEC/10,156507
Mangosuthu University of Technology,10/JAN/05,200
Mangosuthu University of Technology,09/JAN/06,603
Mangosuthu University of Technology,01/DEC/11,161257
Mangosuthu University of Technology,30/JAN/12,3581
Mangosuthu University of Technology,01/DEC/12,167405
Mangosuthu University of Technology,12/JAN/11,3309
Mangosuthu University of Technology,28/JAN/13,5237
Mangosuthu University of Technology,01/JUL/13,3181
Mangosuthu University of Technology,01/DEC/13,180977
Mangosuthu University of Technology,27/JAN/14,5122
Mangosuthu University of Technology,01/DEC/14,185582
Mangosuthu University of Technology,21/JUL/14,771
Mangosuthu University of Technology,11/JUL/08,272
Mangosuthu University of Technology,11/JUL/11,1765
Mangosuthu University of Technology,23/JUL/12,2487
University of South Africa,01/DEC/13,180977
University of South Africa,08/DEC/09,1151
University of South Africa,19/MAR/08,36
University of South Africa,21/JUN/10,2487
University of South Africa,17/FEB/05,67
University of South Africa,06/JUL/10,1191
University of South Africa,28/JUN/10,680
University of South Africa,23/DEC/09,707
University of South Africa,08/FEB/05,91
University of South Africa,12/JAN/10,3387
University of South Africa,22/JAN/09,2157
University of South Africa,24/JUN/10,688
University of South Africa,19/JUL/10,1044
University of South Africa,02/JUL/10,1039
University of South Africa,29/JUN/10,603
University of South Africa,03/JUN/08,216
University of South Africa,16/JAN/08,2627
University of South Africa,23/JUN/10,1003
University of South Africa,19/JAN/09,1079
University of South Africa,16/JAN/07,1296
University of South Africa,13/JUL/09,907
University of South Africa,15/JAN/08,1087
University of South Africa,20/JUN/11,3177
University of South Africa,14/SEP/13,156599
University of South Africa,04/JAN/11,19310
University of South Africa,30/JUN/11,2101
University of South Africa,10/JAN/11,5708
University of South Africa,04/JUL/11,1965
University of South Africa,29/JAN/11,678
University of South Africa,17/JAN/11,2046
University of South Africa,14/DEC/10,976
University of South Africa,01/JUL/11,3570
University of South Africa,28/JUN/11,1400
University of South Africa,12/JAN/12,1810
University of South Africa,13/DEC/11,791
University of South Africa,05/DEC/11,532
University of South Africa,29/JAN/13,1815
University of South Africa,11/JUN/13,817
University of South Africa,31/DEC/12,1074
University of South Africa,21/DEC/12,1005
University of South Africa,07/JUN/13,847
University of South Africa,18/DEC/07,214
University of South Africa,10/JAN/06,200
University of South Africa,01/DEC/14,185582
University of South Africa,04/DEC/06,179
University of South Africa,17/JUN/14,1060
University of South Africa,14/SEP/14,102831
University of South Africa,19/DEC/13,793
University of South Africa,25/JAN/10,5095
University of South Africa,14/JAN/10,1835
University of South Africa,21/JAN/08,3853
University of South Africa,20/JAN/12,2704
University of South Africa,18/JUN/12,2182
University of South Africa,19/JAN/12,2213
University of South Africa,29/JUN/12,814
University of South Africa,14/SEP/05,9
University of South Africa,01/DEC/10,156507
University of South Africa,31/JAN/08,838
University of South Africa,20/JUL/10,1291
University of South Africa,12/JUL/10,2521
University of South Africa,31/AUG/05,20
University of South Africa,15/JAN/10,2377
University of South Africa,03/FEB/10,1290
University of South Africa,04/DEC/09,102
University of South Africa,11/JAN/10,6457
University of South Africa,01/JAN/01,2080
University of South Africa,26/JAN/09,864
University of South Africa,09/MAR/07,128
University of South Africa,24/FEB/10,473
University of South Africa,21/JUL/10,1369
University of South Africa,14/JUL/10,1149
University of South Africa,20/JAN/09,1228
University of South Africa,05/JUL/10,1500
University of South Africa,18/DEC/09,803
University of South Africa,20/FEB/09,185
University of South Africa,20/JAN/10,3093
University of South Africa,12/MAR/05,7
University of South Africa,30/JUL/07,110
University of South Africa,12/JAN/08,418
University of South Africa,07/JAN/09,2152
University of South Africa,14/JAN/08,1706
University of South Africa,01/JUL/09,1747
University of South Africa,18/JAN/07,324
University of South Africa,26/JUN/09,964
University of South Africa,06/JAN/10,1440
University of South Africa,07/DEC/09,1442
University of South Africa,19/JAN/10,2261
University of South Africa,28/JAN/10,1222
University of South Africa,01/JUL/10,3335
University of South Africa,05/JAN/10,18860
University of South Africa,13/JAN/09,847
University of South Africa,25/JAN/06,243
University of South Africa,03/FEB/09,567
University of South Africa,10/JUL/09,369
University of South Africa,05/JAN/09,12772
University of South Africa,25/JUN/10,533
University of South Africa,15/JUL/10,1212
University of South Africa,22/JUN/10,1796
University of South Africa,22/FEB/08,201
University of South Africa,20/SEP/05,24
University of South Africa,01/DEC/11,161257
University of South Africa,06/MAR/06,81
University of South Africa,06/MAR/08,585
University of South Africa,07/JUL/10,976
University of South Africa,21/JAN/09,1523
University of South Africa,23/JAN/08,695
University of South Africa,22/JAN/10,4164
University of South Africa,10/JAN/08,485
University of South Africa,11/DEC/07,162
University of South Africa,22/DEC/09,850
University of South Africa,15/DEC/09,763
University of South Africa,01/MAR/10,693
University of South Africa,22/FEB/05,60
University of South Africa,07/JAN/11,1669
University of South Africa,03/DEC/10,805
University of South Africa,27/JUN/11,1644
University of South Africa,23/JUN/11,1395
University of South Africa,19/JUL/11,531
University of South Africa,14/FEB/11,652
University of South Africa,22/JUN/11,1744
University of South Africa,23/MAR/11,266
University of South Africa,21/JAN/11,3463
University of South Africa,21/JUN/11,2407
University of South Africa,12/JUL/11,1584
University of South Africa,02/FEB/08,409
University of South Africa,07/DEC/10,929
University of South Africa,15/JUL/11,1878
University of South Africa,20/JAN/11,2903
University of South Africa,04/FEB/08,484
University of South Africa,14/JAN/11,1843
University of South Africa,30/JAN/08,787
University of South Africa,04/FEB/11,2377
University of South Africa,06/DEC/10,962
University of South Africa,26/JAN/07,470
University of South Africa,15/JAN/11,1222
University of South Africa,22/JAN/07,394
University of South Africa,08/DEC/10,855
University of South Africa,02/FEB/06,288
University of South Africa,19/JAN/11,2423
University of South Africa,06/JUL/11,1022
University of South Africa,13/JUL/11,1465
University of South Africa,21/DEC/10,1010
University of South Africa,11/JUL/11,1765
University of South Africa,12/JAN/09,3451
University of South Africa,07/JUN/06,61
University of South Africa,11/JAN/08,507
University of South Africa,19/JAN/06,226
University of South Africa,10/DEC/07,167
University of South Africa,09/JUL/09,339
University of South Africa,08/JUL/10,1043
University of South Africa,12/DEC/07,188
University of South Africa,10/JUL/06,93
University of South Africa,09/JAN/08,1030
University of South Africa,16/FEB/09,317
University of South Africa,03/JUL/98,6
University of South Africa,10/DEC/09,771
University of South Africa,23/DEC/10,771
University of South Africa,01/FEB/06,519
University of South Africa,09/JUL/12,1065
University of South Africa,23/JUL/13,409
University of South Africa,15/JAN/14,1676
University of South Africa,26/JUN/14,379
University of South Africa,19/JUN/14,838
University of South Africa,01/DEC/12,167405
University of South Africa,09/FEB/06,354
University of South Africa,14/FEB/08,227
University of South Africa,30/JUN/06,24
University of South Africa,11/DEC/06,118
University of South Africa,08/JAN/09,875
University of South Africa,06/FEB/08,336
University of South Africa,04/FEB/05,150
University of South Africa,06/JUN/06,119
University of South Africa,06/JUL/09,454
University of South Africa,05/MAR/07,184
University of South Africa,10/JUN/08,108
University of South Africa,01/FEB/05,372
University of South Africa,22/JAN/08,596
University of South Africa,30/JAN/06,380
University of South Africa,18/JAN/11,2437
University of South Africa,03/MAR/11,331
University of South Africa,12/JAN/11,3309
University of South Africa,14/SEP/11,20425
University of South Africa,05/JAN/12,6991
University of South Africa,02/JUL/12,2823
University of South Africa,05/JUL/12,884
University of South Africa,22/AUG/05,30
University of South Africa,04/JAN/07,245
University of South Africa,30/NOV/11,1106
University of Cape Town,14/JAN/11,1843
University of South Africa,29/JAN/07,1239
University of South Africa,23/JAN/09,1370
University of South Africa,04/MAR/05,58
University of South Africa,05/JUL/11,1097
University of South Africa,05/JAN/11,1710
University of South Africa,21/JUN/12,1215
University of South Africa,11/JUL/12,1259
University of South Africa,01/FEB/12,11513
University of South Africa,19/DEC/11,830
University of South Africa,21/FEB/08,226
University of South Africa,06/JAN/12,1096
University of South Africa,01/SEP/05,7
University of South Africa,15/JAN/09,2267
University of South Africa,14/DEC/09,921
University of South Africa,01/JAN/10,56679
University of South Africa,11/JAN/06,211
University of South Africa,05/JUL/06,46
University of South Africa,25/JAN/08,1020
University of South Africa,18/MAR/08,76
University of South Africa,09/DEC/09,850
University of South Africa,05/MAR/08,954
University of South Africa,13/FEB/07,187
University of South Africa,13/JAN/07,240
University of South Africa,29/JAN/10,1125
University of South Africa,14/JAN/09,1208
University of South Africa,17/JAN/07,365
University of South Africa,21/DEC/09,947
University of South Africa,20/JAN/06,226
University of South Africa,16/FEB/11,507
University of South Africa,09/FEB/11,776
University of South Africa,20/DEC/10,865
University of South Africa,17/MAR/05,124
University of South Africa,30/NOV/10,1272
University of South Africa,29/JUN/11,1290
University of South Africa,09/JAN/10,1017
University of South Africa,29/NOV/10,1439
University of South Africa,08/JUL/11,1054
University of South Africa,17/MAR/06,66
University of South Africa,24/JUN/11,1222
University of South Africa,16/JUL/10,1164
University of South Africa,23/JUL/09,130
University of South Africa,27/JUN/14,293
University of South Africa,17/JUL/14,539
University of South Africa,14/JAN/14,2519
University of South Africa,16/JAN/09,3599
University of South Africa,05/JUN/07,163
University of South Africa,13/MAR/06,93
University of South Africa,28/DEC/09,232
University of South Africa,02/FEB/07,304
University of South Africa,23/JUN/06,23
University of South Africa,20/JUN/12,1443
University of South Africa,12/FEB/10,477
University of South Africa,08/JAN/10,1550
University of South Africa,26/JAN/06,223
University of South Africa,23/JUL/07,74
University of South Africa,08/JAN/08,468
University of South Africa,09/FEB/07,221
University of South Africa,03/DEC/07,252
University of South Africa,09/JAN/09,1106
University of South Africa,24/JAN/07,407
University of South Africa,31/JAN/07,677
University of South Africa,13/JAN/10,1736
University of South Africa,28/JAN/11,1925
University of South Africa,17/DEC/10,891
University of South Africa,26/JAN/11,1500
University of South Africa,11/JAN/11,1869
University of South Africa,07/JUL/11,1115
University of South Africa,04/OCT/05,47
University of South Africa,03/JUL/12,894
University of South Africa,12/JUL/12,1526
University of South Africa,12/DEC/11,742
University of South Africa,08/MAR/07,400
University of South Africa,22/JUN/12,1034
University of South Africa,21/JAN/14,4103
University of South Africa,02/JUL/13,570
University of South Africa,28/JAN/14,2408
University of South Africa,04/JUL/14,327
University of South Africa,13/JUN/13,638
University of South Africa,09/JAN/06,603
University of South Africa,15/JUL/09,638
University of South Africa,18/JAN/10,1942
University of South Africa,23/FEB/05,46
University of South Africa,09/JUL/10,905
University of South Africa,10/MAR/11,607
University of South Africa,09/JAN/12,12646
University of South Africa,17/DEC/09,935
University of South Africa,07/JAN/13,25337
University of South Africa,05/FEB/07,362
University of South Africa,30/JAN/12,3581
University of South Africa,18/MAR/05,79
University of South Africa,05/FEB/09,536
University of South Africa,11/DEC/09,738
University of South Africa,27/JAN/06,265
University of South Africa,03/FEB/07,313
University of South Africa,11/MAR/05,63
University of South Africa,04/JAN/10,11726
University of South Africa,11/FEB/10,536
University of South Africa,07/JAN/10,1722
University of South Africa,10/MAR/05,68
University of South Africa,03/JUL/09,427
University of South Africa,01/AUG/06,31
University of South Africa,03/MAR/05,82
University of South Africa,30/JUN/10,805
University of South Africa,04/JUN/08,120
University of South Africa,16/JUL/07,473
University of South Africa,21/JAN/10,4583
University of South Africa,08/JUN/07,76
University of South Africa,12/JAN/07,339
University of South Africa,08/JUL/09,378
University of South Africa,07/FEB/08,362
University of South Africa,29/SEP/05,23
University of South Africa,02/SEP/05,14
University of South Africa,26/JAN/05,214
University of South Africa,02/MAR/09,300
University of South Africa,02/JAN/08,752
University of South Africa,15/DEC/10,928
University of South Africa,25/NOV/13,233
University of South Africa,13/JUL/10,1599
University of South Africa,08/JAN/13,1368
University of South Africa,31/JUL/06,67
University of South Africa,02/DEC/04,32
University of South Africa,13/JAN/11,1858
University of South Africa,09/DEC/11,832
University of South Africa,05/JAN/08,254
University of South Africa,24/JAN/08,582
University of South Africa,28/JAN/08,767
University of South Africa,01/FEB/07,782
University of South Africa,14/JUL/11,1292
University of South Africa,28/JUN/12,994
University of South Africa,04/JAN/13,1161
University of South Africa,06/JAN/09,694
University of South Africa,08/DEC/08,66
University of South Africa,16/JUL/09,695
University of South Africa,03/MAR/08,288
University of South Africa,02/FEB/10,1546
University of South Africa,31/JAN/05,218
University of South Africa,03/FEB/05,343
University of South Africa,15/MAR/11,798
University of South Africa,21/JUL/11,302
University of South Africa,17/JAN/06,233
University of South Africa,18/JAN/06,263
